,t0_rog,t0_entropy_step,t0_contact_locs,t0_known_locs,t0_wind_instensity,t0_prop_damaged_buildings,t0_rain_intensity,t0_dist2_DTMsites,t0_dist2_mainroads,t0_dist2_urbancentres,t0_popdensity3km_2015,t0_DTM_IDPpop,t1_contact_locs,t1_known_locs,t1_wind_instensity,t1_prop_damaged_buildings,t1_rain_intensity,t1_dist2_DTMsites,t1_dist2_mainroads,t1_dist2_urbancentres,t1_popdensity3km_2015,t1_DTM_IDPpop,t1_dist_to_hl,t2_contact_locs,t2_known_locs,t2_wind_instensity,t2_prop_damaged_buildings,t2_rain_intensity,t2_dist2_DTMsites,t2_dist2_mainroads,t2_dist2_urbancentres,t2_popdensity3km_2015,t2_DTM_IDPpop,t2_dist_to_hl,t3_contact_locs,t3_known_locs,t3_wind_instensity,t3_prop_damaged_buildings,t3_rain_intensity,t3_dist2_DTMsites,t3_dist2_mainroads,t3_dist2_urbancentres,t3_popdensity3km_2015,t3_DTM_IDPpop,t3_dist_to_hl
916,zero-low,zero-low,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero,some,high,low,high,near,zero-low,medium-high,low-medium,zero-low,high,zero,some,high,low,high,near,low-medium,medium-high,low-medium,zero-low,high,zero,some,high,low,high,near,low-medium,medium-high,low-medium,zero-low,high
917,low-medium,zero-low,zero,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,zero,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,zero,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low
918,low-medium,low-medium,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low
919,high,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero,some,medium,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,high,zero,some,medium,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,high,zero,some,medium,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,high
920,zero-low,low-medium,most,most,high,low,high,near,high,medium-high,low-medium,zero-low,most,most,high,low,high,near,high,medium-high,zero-low,zero-low,low-medium,most,most,high,high,high,near,high,medium-high,zero-low,zero-low,low-medium,most,most,high,low,high,far,high,medium-high,zero-low,zero-low,low-medium
921,zero-low,high,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero-low
922,high,medium-high,some,some,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high,zero,zero,low,low,low,no_sites,zero-low,zero-low,low-medium,zero-low,high,some,some,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,medium-high
923,high,high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,zero,some,low,low,low,no_sites,high,low-medium,medium-high,zero-low,high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low
924,zero-low,low-medium,some,some,high,low,high,near,low-medium,low-medium,low-medium,high,some,some,high,low,high,far,low-medium,low-medium,low-medium,zero-low,medium-high,some,some,high,low,high,far,low-medium,low-medium,low-medium,zero-low,medium-high,some,most,high,low,high,near,zero-low,low-medium,low-medium,low-medium,zero-low
925,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero,some,high,low,high,far,high,medium-high,zero-low,zero-low,high,most,some,low,low,medium,no_sites,medium-high,low-medium,low-medium,zero-low,medium-high,most,some,low,low,medium,no_sites,high,low-medium,low-medium,zero-low,medium-high
926,medium-high,zero-low,most,some,high,low,high,far,high,medium-high,zero-low,zero-low,most,some,high,low,high,near,high,medium-high,low-medium,zero-low,low-medium,most,some,high,low,high,near,high,medium-high,low-medium,zero-low,low-medium,most,some,high,low,high,near,high,medium-high,low-medium,zero-low,low-medium
927,low-medium,zero-low,some,some,high,low,medium,no_sites,high,medium-high,zero-low,zero-low,some,some,high,high,medium,near,high,low-medium,low-medium,zero-low,medium-high,zero,some,high,high,medium,far,high,medium-high,low-medium,zero-low,medium-high,some,some,high,high,medium,near,high,medium-high,low-medium,low-medium,medium-high
928,medium-high,medium-high,zero,some,medium,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,most,some,medium,low,low,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high,most,some,medium,low,low,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high,zero,some,medium,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,zero-low
929,low-medium,high,some,some,medium,low,high,far,high,medium-high,zero-low,zero-low,some,some,medium,low,high,far,low-medium,zero-low,medium-high,zero-low,low-medium,zero,some,medium,low,high,far,zero-low,low-medium,zero-low,zero-low,low-medium,some,some,medium,low,high,far,low-medium,low-medium,low-medium,zero-low,low-medium
930,medium-high,high,some,some,low,low,low,no_sites,high,low-medium,low-medium,zero-low,zero,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,zero,some,low,low,low,no_sites,medium-high,low-medium,low-medium,zero-low,high,zero,some,low,low,low,no_sites,medium-high,low-medium,low-medium,zero-low,high
931,medium-high,low-medium,some,some,high,high,medium,near,high,medium-high,zero-low,low-medium,some,some,high,high,medium,near,high,low-medium,low-medium,zero-low,low-medium,some,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high
932,low-medium,high,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium
933,high,medium-high,some,some,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,some,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high,some,some,low,low,low,no_sites,low-medium,low-medium,medium-high,zero-low,high
934,zero-low,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,some,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,medium-high,some,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,medium-high,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low
935,high,high,some,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,some,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low,some,some,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,zero-low,some,some,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,zero-low
936,zero-low,low-medium,most,some,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,most,some,low,low,medium,no_sites,medium-high,medium-high,zero-low,zero-low,low-medium,most,some,low,low,medium,no_sites,medium-high,low-medium,low-medium,zero-low,low-medium,most,some,low,low,medium,no_sites,medium-high,low-medium,low-medium,zero-low,zero-low
937,high,medium-high,some,some,medium,low,high,near,zero-low,medium-high,low-medium,zero-low,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high
938,zero-low,zero-low,most,some,high,low,medium,far,high,medium-high,zero-low,zero-low,some,some,high,low,high,near,medium-high,zero-low,medium-high,high,medium-high,most,some,high,low,high,near,high,medium-high,low-medium,zero-low,medium-high,some,some,high,low,high,near,low-medium,low-medium,low-medium,high,medium-high
939,high,high,most,some,medium,low,high,far,medium-high,zero-low,low-medium,zero-low,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high
940,medium-high,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero,some,high,low,medium,far,high,medium-high,zero-low,zero-low,high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,zero,some,high,low,medium,far,high,medium-high,zero-low,zero-low,high
941,high,medium-high,some,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,high,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,high,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,medium-high
942,high,zero-low,most,some,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,zero,some,high,low,high,near,high,medium-high,low-medium,zero-low,high,zero,some,high,low,high,near,high,medium-high,low-medium,zero-low,high,zero,some,high,low,high,near,high,medium-high,low-medium,zero-low,high
943,low-medium,zero-low,some,some,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,some,some,medium,low,high,no_sites,zero-low,low-medium,low-medium,zero-low,low-medium,some,some,medium,low,high,no_sites,zero-low,low-medium,low-medium,zero-low,low-medium,some,some,medium,low,high,no_sites,zero-low,low-medium,low-medium,zero-low,low-medium
944,medium-high,zero-low,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,some,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,medium-high,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high,zero,zero,low,low,low,no_sites,low-medium,medium-high,low-medium,zero-low,high
945,medium-high,medium-high,most,some,medium,low,medium,no_sites,high,medium-high,zero-low,zero-low,most,some,medium,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium,most,some,medium,low,medium,no_sites,high,zero-low,low-medium,zero-low,low-medium,most,some,medium,low,medium,no_sites,high,zero-low,low-medium,zero-low,low-medium
946,high,medium-high,some,some,high,low,high,near,low-medium,low-medium,low-medium,high,some,some,medium,low,high,far,zero-low,medium-high,zero-low,zero-low,high,some,some,medium,low,high,far,zero-low,medium-high,zero-low,zero-low,medium-high,some,some,medium,low,high,far,zero-low,medium-high,zero-low,zero-low,medium-high
947,high,low-medium,most,some,medium,low,high,no_sites,zero-low,medium-high,low-medium,zero-low,some,some,medium,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high,some,some,medium,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high,some,some,medium,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high
948,high,zero-low,some,some,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,some,some,medium,low,high,near,zero-low,medium-high,low-medium,zero-low,high,some,some,medium,low,high,near,zero-low,medium-high,low-medium,zero-low,high,some,some,medium,low,high,near,zero-low,medium-high,low-medium,zero-low,high
949,medium-high,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low
950,medium-high,medium-high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high
951,low-medium,high,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,some,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium,some,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium,some,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium
952,low-medium,low-medium,most,some,medium,low,high,no_sites,zero-low,low-medium,medium-high,zero-low,most,some,medium,low,high,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,zero,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high,zero,some,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,medium-high
953,low-medium,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,zero,some,high,low,high,near,high,medium-high,low-medium,zero-low,high,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low
954,zero-low,low-medium,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low
955,medium-high,medium-high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,zero,zero,medium,low,high,far,high,medium-high,zero-low,zero-low,high,zero,zero,high,low,medium,near,low-medium,medium-high,low-medium,zero-low,high
956,high,high,some,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high,zero,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,medium-high
957,zero-low,high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low,zero,zero,low,low,low,no_sites,medium-high,medium-high,zero-low,zero-low,medium-high
958,zero-low,zero-low,most,some,low,low,high,no_sites,zero-low,medium-high,low-medium,zero-low,zero,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high,zero,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high,zero,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high
959,medium-high,low-medium,most,some,medium,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,zero,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,zero,some,medium,low,low,no_sites,high,low-medium,zero-low,zero-low,medium-high,most,some,medium,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low
960,low-medium,low-medium,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low
961,zero-low,zero-low,most,most,high,low,high,near,low-medium,low-medium,low-medium,high,most,most,high,low,high,near,zero-low,low-medium,medium-high,low-medium,zero-low,most,most,high,low,high,near,zero-low,low-medium,low-medium,low-medium,zero-low,most,most,high,low,high,near,medium-high,zero-low,medium-high,high,zero-low
962,low-medium,low-medium,most,some,medium,low,high,no_sites,zero-low,low-medium,low-medium,zero-low,most,some,medium,low,high,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium,zero,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high,zero,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high
963,high,high,most,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium,most,some,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero-low
964,high,high,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,some,some,high,low,high,near,low-medium,low-medium,low-medium,zero-low,high,some,some,high,low,high,near,low-medium,low-medium,low-medium,zero-low,high,some,some,high,low,high,near,low-medium,medium-high,low-medium,zero-low,high
965,low-medium,zero-low,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high,some,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,low-medium
966,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium
967,zero-low,high,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low
968,low-medium,low-medium,most,some,low,low,medium,no_sites,medium-high,low-medium,low-medium,zero-low,zero,some,medium,low,low,no_sites,low-medium,low-medium,medium-high,zero-low,high,zero,some,medium,low,low,no_sites,low-medium,low-medium,medium-high,zero-low,high,zero,some,medium,low,low,no_sites,low-medium,low-medium,medium-high,zero-low,high
969,zero-low,medium-high,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,zero-low,some,zero,medium,low,high,far,high,medium-high,zero-low,zero-low,high
970,low-medium,medium-high,zero,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium,zero,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,low-medium,zero,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium
971,high,low-medium,some,some,high,low,medium,near,low-medium,medium-high,low-medium,zero-low,some,some,high,low,medium,near,zero-low,medium-high,low-medium,zero-low,low-medium,most,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high,most,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high
972,zero-low,medium-high,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low
973,zero-low,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero-low
974,high,high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero,some,medium,low,high,far,medium-high,zero-low,medium-high,zero-low,high,zero,some,medium,low,high,far,medium-high,zero-low,low-medium,zero-low,high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low
975,medium-high,low-medium,most,some,medium,low,high,no_sites,medium-high,zero-low,medium-high,zero-low,most,some,medium,low,high,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low,most,some,medium,low,high,no_sites,low-medium,low-medium,medium-high,zero-low,zero-low,zero,some,low,low,low,no_sites,high,zero-low,low-medium,zero-low,high
976,medium-high,medium-high,most,some,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,most,some,low,low,high,no_sites,high,medium-high,zero-low,zero-low,low-medium,some,some,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,medium-high,zero,zero,low,low,medium,no_sites,medium-high,low-medium,low-medium,zero-low,high
977,medium-high,medium-high,some,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,some,some,low,low,low,no_sites,medium-high,low-medium,medium-high,zero-low,high,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low,some,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero-low
978,zero-low,medium-high,zero,most,low,low,low,no_sites,high,low-medium,medium-high,zero-low,zero,most,low,low,low,no_sites,high,low-medium,medium-high,zero-low,zero-low,zero,zero,low,low,medium,no_sites,low-medium,low-medium,low-medium,zero-low,high,zero,most,low,low,low,no_sites,high,low-medium,low-medium,zero-low,zero-low
979,zero-low,zero-low,most,most,low,low,low,no_sites,high,low-medium,low-medium,zero-low,zero,some,medium,low,low,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,zero,some,medium,low,low,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,zero,some,medium,low,low,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high
980,medium-high,low-medium,some,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,some,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low
981,low-medium,high,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,zero-low
982,low-medium,high,most,most,medium,low,high,no_sites,medium-high,low-medium,low-medium,zero-low,most,some,medium,low,high,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,most,some,medium,low,high,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,most,some,medium,low,high,no_sites,medium-high,low-medium,low-medium,zero-low,low-medium
983,low-medium,medium-high,most,most,medium,low,high,far,zero-low,medium-high,zero-low,zero-low,zero,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high,most,some,medium,low,high,near,zero-low,medium-high,low-medium,zero-low,low-medium,most,some,medium,low,high,near,zero-low,medium-high,low-medium,zero-low,low-medium
984,zero-low,zero-low,some,some,high,low,high,near,high,medium-high,zero-low,zero-low,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,low-medium,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,low-medium,some,some,high,low,medium,far,high,medium-high,zero-low,zero-low,low-medium
985,low-medium,low-medium,some,some,high,low,high,near,high,medium-high,zero-low,zero-low,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,low-medium,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,low-medium,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,low-medium
986,low-medium,low-medium,most,some,high,low,high,near,low-medium,low-medium,low-medium,high,most,some,high,low,high,near,zero-low,low-medium,medium-high,low-medium,zero-low,most,some,high,low,high,near,low-medium,low-medium,low-medium,high,zero-low,most,some,high,low,high,near,zero-low,low-medium,low-medium,low-medium,zero-low
987,high,medium-high,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,some,some,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,medium-high
988,zero-low,zero-low,most,most,high,low,high,near,zero-low,low-medium,low-medium,low-medium,most,most,high,low,high,near,low-medium,low-medium,low-medium,zero-low,zero-low,most,most,high,low,high,near,zero-low,low-medium,low-medium,low-medium,zero-low,most,most,high,low,high,near,zero-low,low-medium,low-medium,low-medium,zero-low
989,high,low-medium,most,some,high,low,high,near,medium-high,zero-low,medium-high,high,most,some,high,low,high,near,zero-low,low-medium,medium-high,low-medium,low-medium,most,some,high,low,high,near,low-medium,low-medium,low-medium,high,zero-low,some,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high
990,low-medium,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero,zero,high,low,medium,far,high,medium-high,zero-low,zero-low,high,zero,some,high,low,medium,far,zero-low,medium-high,zero-low,zero-low,high,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium
991,low-medium,zero-low,most,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,zero,zero,medium,low,high,far,high,medium-high,zero-low,zero-low,high,some,some,low,low,medium,no_sites,high,medium-high,low-medium,zero-low,medium-high,some,some,low,low,medium,no_sites,high,medium-high,low-medium,zero-low,medium-high
992,medium-high,low-medium,most,some,low,low,low,no_sites,high,zero-low,low-medium,zero-low,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,low-medium,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,low-medium,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,low-medium
993,low-medium,low-medium,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,some,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,some,most,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,zero-low,some,some,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,medium-high
994,zero-low,high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low
995,medium-high,high,some,some,high,high,high,near,high,medium-high,zero-low,zero-low,most,some,high,low,high,near,high,medium-high,low-medium,zero-low,medium-high,some,some,high,low,high,near,high,medium-high,low-medium,zero-low,low-medium,some,some,high,low,high,near,medium-high,zero-low,medium-high,high,medium-high
996,medium-high,medium-high,some,some,medium,low,high,no_sites,zero-low,low-medium,medium-high,zero-low,zero,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,high,zero,some,medium,low,high,no_sites,zero-low,low-medium,low-medium,zero-low,medium-high,zero,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high
997,low-medium,zero-low,most,some,low,low,high,no_sites,medium-high,medium-high,low-medium,zero-low,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high
998,zero-low,high,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,low-medium
999,medium-high,high,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,medium-high
