,t0_rog,t0_entropy_step,t0_contact_locs,t0_known_locs,t0_wind_instensity,t0_prop_damaged_buildings,t0_rain_intensity,t0_dist2_DTMsites,t0_dist2_mainroads,t0_dist2_urbancentres,t0_popdensity3km_2015,t0_DTM_IDPpop,t1_contact_locs,t1_known_locs,t1_wind_instensity,t1_prop_damaged_buildings,t1_rain_intensity,t1_dist2_DTMsites,t1_dist2_mainroads,t1_dist2_urbancentres,t1_popdensity3km_2015,t1_DTM_IDPpop,t1_dist_to_hl,t2_contact_locs,t2_known_locs,t2_wind_instensity,t2_prop_damaged_buildings,t2_rain_intensity,t2_dist2_DTMsites,t2_dist2_mainroads,t2_dist2_urbancentres,t2_popdensity3km_2015,t2_DTM_IDPpop,t2_dist_to_hl,t3_contact_locs,t3_known_locs,t3_wind_instensity,t3_prop_damaged_buildings,t3_rain_intensity,t3_dist2_DTMsites,t3_dist2_mainroads,t3_dist2_urbancentres,t3_popdensity3km_2015,t3_DTM_IDPpop,t3_dist_to_hl
39,high,high,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,some,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low,some,some,low,low,low,no_sites,medium-high,low-medium,low-medium,zero-low,high,some,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low
40,low-medium,medium-high,most,most,low,low,medium,no_sites,high,low-medium,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium
41,zero-low,high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low
42,high,high,most,some,medium,low,low,no_sites,zero-low,zero-low,medium-high,zero-low,zero,some,medium,low,low,no_sites,high,medium-high,zero-low,zero-low,medium-high,zero,some,low,low,low,no_sites,zero-low,low-medium,low-medium,zero-low,high,zero,some,low,low,low,no_sites,zero-low,low-medium,low-medium,zero-low,medium-high
43,high,medium-high,some,some,low,low,medium,no_sites,high,medium-high,low-medium,zero-low,zero,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,zero,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high,zero,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high
44,zero-low,low-medium,zero,most,high,low,high,near,zero-low,low-medium,low-medium,low-medium,zero,most,high,low,high,near,zero-low,low-medium,low-medium,zero-low,zero-low,zero,most,high,low,high,near,zero-low,low-medium,low-medium,zero-low,zero-low,zero,most,high,low,high,near,zero-low,medium-high,low-medium,zero-low,zero-low
45,zero-low,high,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium
46,high,medium-high,some,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,some,medium,low,medium,no_sites,zero-low,low-medium,zero-low,zero-low,high,most,some,medium,low,medium,no_sites,zero-low,low-medium,zero-low,zero-low,high,most,some,medium,low,medium,no_sites,zero-low,medium-high,zero-low,zero-low,medium-high
47,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,low-medium,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,low-medium,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,low-medium,zero-low,low-medium,most,most,low,low,medium,no_sites,high,low-medium,low-medium,zero-low,zero-low
48,high,high,some,some,low,low,medium,no_sites,high,medium-high,low-medium,zero-low,some,some,low,low,low,no_sites,medium-high,zero-low,low-medium,zero-low,high,some,some,low,low,low,no_sites,medium-high,low-medium,low-medium,zero-low,high,some,some,low,low,low,no_sites,zero-low,low-medium,low-medium,zero-low,high
49,high,zero-low,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,zero-low,some,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high,some,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high
50,low-medium,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero,zero,high,low,medium,near,medium-high,zero-low,medium-high,high,high,zero,zero,high,low,medium,near,medium-high,zero-low,low-medium,high,high,some,some,low,low,low,no_sites,medium-high,low-medium,low-medium,zero-low,medium-high
51,low-medium,high,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low,some,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero-low
52,zero-low,zero-low,most,most,low,low,high,no_sites,medium-high,low-medium,low-medium,zero-low,most,most,medium,low,high,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,most,most,medium,low,high,no_sites,low-medium,low-medium,medium-high,zero-low,zero-low,most,most,medium,low,high,no_sites,low-medium,low-medium,medium-high,zero-low,zero-low
53,medium-high,zero-low,most,some,high,low,high,near,high,low-medium,low-medium,low-medium,zero,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,zero,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high,zero,some,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,high
54,zero-low,medium-high,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low
55,medium-high,high,some,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium,some,some,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,low-medium,some,some,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,low-medium
56,low-medium,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,some,some,medium,low,high,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high,some,some,medium,low,high,no_sites,low-medium,low-medium,medium-high,zero-low,medium-high,some,some,medium,low,high,no_sites,low-medium,low-medium,medium-high,zero-low,medium-high
57,low-medium,medium-high,most,most,low,low,medium,no_sites,high,low-medium,low-medium,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium
58,high,zero-low,some,some,high,low,medium,near,low-medium,medium-high,low-medium,zero-low,some,some,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,high,some,some,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,high,some,some,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,high
59,zero-low,low-medium,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low
60,high,high,most,some,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero,some,medium,low,high,no_sites,low-medium,zero-low,medium-high,zero-low,high,most,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low,most,some,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero-low
61,high,medium-high,most,some,high,low,high,near,low-medium,low-medium,low-medium,high,most,some,high,low,high,near,low-medium,low-medium,medium-high,high,zero-low,some,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high,some,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high
